scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3M_br,mMed1000_mDM750_lam5p0,1000.0,750.0,5.0,95.19766,0.03751227981,10000
S3M_br,mMed1500_mDM1_lam1p0,1500.0,1.0,1.0,29.84153,0.00193571825,10000
S3M_br,mMed1500_mDM1_lam1p5,1500.0,1.0,1.5,67.14343,0.007674750281,10000
S3M_br,mMed1500_mDM1_lam2p0,1500.0,1.0,2.0,119.3661,0.021869297109999998,10000
S3M_br,mMed1500_mDM1_lam2p2,1500.0,1.0,2.2,144.433,0.03097646407,10000
S3M_br,mMed1500_mDM1_lam2p5,1500.0,1.0,2.5,186.5095,0.046027959699999996,10000
S3M_br,mMed1500_mDM1_lam3p0,1500.0,1.0,3.0,268.5737,0.10411653099,10000
S3M_br,mMed1500_mDM1_lam3p5,1500.0,1.0,3.5,365.5587,0.197599688,10000
S3M_br,mMed1500_mDM1_lam4p0,1500.0,1.0,4.0,477.4644,0.33388584784,10000
S3M_br,mMed1500_mDM1_lam4p5,1500.0,1.0,4.5,604.2909,0.5076836499,10000
S3M_br,mMed1500_mDM1_lam5p0,1500.0,1.0,5.0,746.0381,0.7780191313,10000
S3M_br,mMed1500_mDM10_lam1p0,1500.0,10.0,1.0,29.8389,0.0019406580109000001,10000
S3M_br,mMed1500_mDM10_lam1p5,1500.0,10.0,1.5,67.13752,0.007879850678,10000
S3M_br,mMed1500_mDM10_lam2p0,1500.0,10.0,2.0,119.3556,0.022164578284999997,10000
S3M_br,mMed1500_mDM10_lam2p2,1500.0,10.0,2.2,144.4203,0.032536225035,10000
S3M_br,mMed1500_mDM10_lam2p5,1500.0,10.0,2.5,186.4931,0.05117543268,10000
S3M_br,mMed1500_mDM10_lam3p0,1500.0,10.0,3.0,268.5501,0.10729342661,10000
S3M_br,mMed1500_mDM10_lam3p5,1500.0,10.0,3.5,365.5265,0.1824752842,10000
S3M_br,mMed1500_mDM10_lam4p0,1500.0,10.0,4.0,477.4224,0.33690409022,10000
S3M_br,mMed1500_mDM10_lam4p5,1500.0,10.0,4.5,604.2377,0.5375469103,10000
S3M_br,mMed1500_mDM10_lam5p0,1500.0,10.0,5.0,745.9725,0.795244713,10000
S3M_br,mMed1500_mDM50_lam1p0,1500.0,50.0,1.0,29.77527,0.001695871778,10000
S3M_br,mMed1500_mDM50_lam1p5,1500.0,50.0,1.5,66.99437,0.006513117473,10000
S3M_br,mMed1500_mDM50_lam2p0,1500.0,50.0,2.0,119.1011,0.01890267638,10000
S3M_br,mMed1500_mDM50_lam2p2,1500.0,50.0,2.2,144.1123,0.027112548849999998,10000
S3M_br,mMed1500_mDM50_lam2p5,1500.0,50.0,2.5,186.0955,0.04361230502,10000
S3M_br,mMed1500_mDM50_lam3p0,1500.0,50.0,3.0,267.9775,0.08748430330000001,10000
S3M_br,mMed1500_mDM50_lam3p5,1500.0,50.0,3.5,364.7471,0.1568375025,10000
S3M_br,mMed1500_mDM50_lam4p0,1500.0,50.0,4.0,476.4044,0.2714556809,10000
S3M_br,mMed1500_mDM50_lam4p5,1500.0,50.0,4.5,602.9493,0.43634976610000004,10000
S3M_br,mMed1500_mDM50_lam5p0,1500.0,50.0,5.0,744.3819,0.6598364406,10000
S3M_br,mMed1500_mDM100_lam1p0,1500.0,100.0,1.0,29.57688,0.0013713937323,10000
S3M_br,mMed1500_mDM100_lam1p5,1500.0,100.0,1.5,66.54799,0.004897411017,10000
S3M_br,mMed1500_mDM100_lam2p0,1500.0,100.0,2.0,118.3075,0.013678683930000001,10000
S3M_br,mMed1500_mDM100_lam2p2,1500.0,100.0,2.2,143.1521,0.01967887925,10000
S3M_br,mMed1500_mDM100_lam2p5,1500.0,100.0,2.5,184.8555,0.030738327019999998,10000
S3M_br,mMed1500_mDM100_lam3p0,1500.0,100.0,3.0,266.1919,0.0620739382,10000
S3M_br,mMed1500_mDM100_lam3p5,1500.0,100.0,3.5,362.3168,0.11344470139999999,10000
S3M_br,mMed1500_mDM100_lam4p0,1500.0,100.0,4.0,473.2301,0.19076145930000002,10000
S3M_br,mMed1500_mDM100_lam4p5,1500.0,100.0,4.5,598.9319,0.3011544087,10000
S3M_br,mMed1500_mDM100_lam5p0,1500.0,100.0,5.0,739.4221,0.45886093559999996,10000
S3M_br,mMed1500_mDM200_lam1p0,1500.0,200.0,1.0,28.78995,0.0009450592415,10000
S3M_br,mMed1500_mDM200_lam1p5,1500.0,200.0,1.5,64.77739,0.0028495317559999998,10000
S3M_br,mMed1500_mDM200_lam2p0,1500.0,200.0,2.0,115.1598,0.007294804362,10000
S3M_br,mMed1500_mDM200_lam2p2,1500.0,200.0,2.2,139.3434,0.010139626780000001,10000
S3M_br,mMed1500_mDM200_lam2p5,1500.0,200.0,2.5,179.9372,0.01564089861,10000
S3M_br,mMed1500_mDM200_lam3p0,1500.0,200.0,3.0,259.1096,0.03065382492,10000
S3M_br,mMed1500_mDM200_lam3p5,1500.0,200.0,3.5,352.6769,0.054707959619999996,10000
S3M_br,mMed1500_mDM200_lam4p0,1500.0,200.0,4.0,460.6392,0.0924040388,10000
S3M_br,mMed1500_mDM200_lam4p5,1500.0,200.0,4.5,582.9965,0.1446505561,10000
S3M_br,mMed1500_mDM200_lam5p0,1500.0,200.0,5.0,719.7488,0.21787031269999999,10000
S3M_br,mMed1500_mDM500_lam1p0,1500.0,500.0,1.0,23.57851,0.00047795407684,10000
S3M_br,mMed1500_mDM500_lam1p5,1500.0,500.0,1.5,53.05165,0.0009221382923,10000
S3M_br,mMed1500_mDM500_lam2p0,1500.0,500.0,2.0,94.31404,0.001711318784,10000
S3M_br,mMed1500_mDM500_lam2p2,1500.0,500.0,2.2,114.12,0.002179035026,10000
S3M_br,mMed1500_mDM500_lam2p5,1500.0,500.0,2.5,147.3657,0.0030587209419999997,10000
S3M_br,mMed1500_mDM500_lam3p0,1500.0,500.0,3.0,212.2066,0.0048886408,10000
S3M_br,mMed1500_mDM500_lam3p5,1500.0,500.0,3.5,288.8367,0.00802231169,10000
S3M_br,mMed1500_mDM500_lam4p0,1500.0,500.0,4.0,377.2562,0.0126085259,10000
S3M_br,mMed1500_mDM500_lam4p5,1500.0,500.0,4.5,477.4648,0.01901185698,10000
S3M_br,mMed1500_mDM500_lam5p0,1500.0,500.0,5.0,589.4628,0.02786252501,10000
S3M_br,mMed1500_mDM750_lam1p0,1500.0,750.0,1.0,16.78587,0.00035493830125,10000
S3M_br,mMed1500_mDM750_lam1p5,1500.0,750.0,1.5,37.76821,0.00054352313676,10000
S3M_br,mMed1500_mDM750_lam2p0,1500.0,750.0,2.0,67.14349,0.0008308845813,10000
S3M_br,mMed1500_mDM750_lam2p2,1500.0,750.0,2.2,81.24362,0.0009741664029,10000
S3M_br,mMed1500_mDM750_lam2p5,1500.0,750.0,2.5,104.9117,0.0012370854584,10000
S3M_br,mMed1500_mDM750_lam3p0,1500.0,750.0,3.0,151.0729,0.001621498198,10000
S3M_br,mMed1500_mDM750_lam3p5,1500.0,750.0,3.5,205.6269,0.002369302963,10000
S3M_br,mMed1500_mDM750_lam4p0,1500.0,750.0,4.0,268.574,0.003387725412,10000
S3M_br,mMed1500_mDM750_lam4p5,1500.0,750.0,4.5,339.9139,0.004789477813,10000
S3M_br,mMed1500_mDM750_lam5p0,1500.0,750.0,5.0,419.6468,0.00661422822,10000
S3M_br,mMed1500_mDM1000_lam1p0,1500.0,1000.0,1.0,9.210356,0.000295074438622,10000
S3M_br,mMed1500_mDM1000_lam1p5,1500.0,1000.0,1.5,20.7233,0.000393300287789,10000
S3M_br,mMed1500_mDM1000_lam2p0,1500.0,1000.0,2.0,36.84142,0.00053024000479,10000
S3M_br,mMed1500_mDM1000_lam2p2,1500.0,1000.0,2.2,44.57812,0.00059528055603,10000
S3M_br,mMed1500_mDM1000_lam2p5,1500.0,1000.0,2.5,57.56472,0.0007056916392,10000
S3M_br,mMed1500_mDM1000_lam3p0,1500.0,1000.0,3.0,82.8932,0.0009229422399000001,10000
S3M_br,mMed1500_mDM1000_lam3p5,1500.0,1000.0,3.5,112.8269,0.0011944206469,10000
S3M_br,mMed1500_mDM1000_lam4p0,1500.0,1000.0,4.0,147.3657,0.0015324451877,10000
S3M_br,mMed1500_mDM1000_lam4p5,1500.0,1000.0,4.5,186.5097,0.0017524950257,10000
S3M_br,mMed1500_mDM1000_lam5p0,1500.0,1000.0,5.0,230.2589,0.002253331761,10000
S3M_br,mMed2000_mDM1_lam1p0,2000.0,1.0,1.0,39.78872,0.0005111409951,10000
S3M_br,mMed2000_mDM1_lam1p5,2000.0,1.0,1.5,89.52461,0.0023373550589,10000
S3M_br,mMed2000_mDM1_lam2p0,2000.0,1.0,2.0,159.1549,0.007067338909,10000
S3M_br,mMed2000_mDM1_lam2p2,2000.0,1.0,2.2,192.5774,0.010216096012,10000
S3M_br,mMed2000_mDM1_lam2p5,2000.0,1.0,2.5,248.6795,0.017865655488,10000
S3M_br,mMed2000_mDM1_lam3p0,2000.0,1.0,3.0,358.0984,0.03412685527,10000
S3M_br,mMed2000_mDM1_lam3p5,2000.0,1.0,3.5,487.4118,0.06819859264,10000
S3M_br,mMed2000_mDM1_lam4p0,2000.0,1.0,4.0,636.6195,0.11480073466,10000
S3M_br,mMed2000_mDM1_lam4p5,2000.0,1.0,4.5,805.7215,0.17657975805999998,10000
S3M_br,mMed2000_mDM1_lam5p0,2000.0,1.0,5.0,994.7179,0.27581843469,10000
S3M_br,mMed2000_mDM10_lam1p0,2000.0,10.0,1.0,39.78675,0.0005174537204,10000
S3M_br,mMed2000_mDM10_lam1p5,2000.0,10.0,1.5,89.52018,0.0023981206593,10000
S3M_br,mMed2000_mDM10_lam2p0,2000.0,10.0,2.0,159.147,0.007353086122999999,10000
S3M_br,mMed2000_mDM10_lam2p2,2000.0,10.0,2.2,192.5679,0.010911427250999998,10000
S3M_br,mMed2000_mDM10_lam2p5,2000.0,10.0,2.5,248.6672,0.018191378613,10000
S3M_br,mMed2000_mDM10_lam3p0,2000.0,10.0,3.0,358.0807,0.03533804259,10000
S3M_br,mMed2000_mDM10_lam3p5,2000.0,10.0,3.5,487.3876,0.059749771619999996,10000
S3M_br,mMed2000_mDM10_lam4p0,2000.0,10.0,4.0,636.5879,0.11279208951,10000
S3M_br,mMed2000_mDM10_lam4p5,2000.0,10.0,4.5,805.6816,0.18492192051,10000
S3M_br,mMed2000_mDM10_lam5p0,2000.0,10.0,5.0,994.6687,0.28239717152,10000
S3M_br,mMed2000_mDM50_lam1p0,2000.0,50.0,1.0,39.73902,0.0004343065384,10000
S3M_br,mMed2000_mDM50_lam1p5,2000.0,50.0,1.5,89.41278,0.0020113550374,10000
S3M_br,mMed2000_mDM50_lam2p0,2000.0,50.0,2.0,158.9561,0.006247949987,10000
S3M_br,mMed2000_mDM50_lam2p2,2000.0,50.0,2.2,192.3368,0.009078128121,10000
S3M_br,mMed2000_mDM50_lam2p5,2000.0,50.0,2.5,248.3688,0.014797395642,10000
S3M_br,mMed2000_mDM50_lam3p0,2000.0,50.0,3.0,357.6511,0.02989673439,10000
S3M_br,mMed2000_mDM50_lam3p5,2000.0,50.0,3.5,486.8029,0.05592636143,10000
S3M_br,mMed2000_mDM50_lam4p0,2000.0,50.0,4.0,635.8242,0.09547499096999999,10000
S3M_br,mMed2000_mDM50_lam4p5,2000.0,50.0,4.5,804.7151,0.14988438962,10000
S3M_br,mMed2000_mDM50_lam5p0,2000.0,50.0,5.0,993.4754,0.23111436311,10000
S3M_br,mMed2000_mDM100_lam1p0,2000.0,100.0,1.0,39.59004,0.00033217187332,10000
S3M_br,mMed2000_mDM100_lam1p5,2000.0,100.0,1.5,89.07759,0.0014825223372,10000
S3M_br,mMed2000_mDM100_lam2p0,2000.0,100.0,2.0,158.3602,0.004509701983,10000
S3M_br,mMed2000_mDM100_lam2p2,2000.0,100.0,2.2,191.6158,0.006578653594,10000
S3M_br,mMed2000_mDM100_lam2p5,2000.0,100.0,2.5,247.4378,0.010686519472,10000
S3M_br,mMed2000_mDM100_lam3p0,2000.0,100.0,3.0,356.3104,0.02176815896,10000
S3M_br,mMed2000_mDM100_lam3p5,2000.0,100.0,3.5,484.978,0.04063894223,10000
S3M_br,mMed2000_mDM100_lam4p0,2000.0,100.0,4.0,633.4407,0.06911035363,10000
S3M_br,mMed2000_mDM100_lam4p5,2000.0,100.0,4.5,801.6983,0.10990826269,10000
S3M_br,mMed2000_mDM100_lam5p0,2000.0,100.0,5.0,989.751,0.16795496534,10000
S3M_br,mMed2000_mDM200_lam1p0,2000.0,200.0,1.0,38.99694,0.0001964719793,10000
S3M_br,mMed2000_mDM200_lam1p5,2000.0,200.0,1.5,87.74311,0.000810488056,10000
S3M_br,mMed2000_mDM200_lam2p0,2000.0,200.0,2.0,155.9878,0.002387957974,10000
S3M_br,mMed2000_mDM200_lam2p2,2000.0,200.0,2.2,188.7452,0.0034087202899999998,10000
S3M_br,mMed2000_mDM200_lam2p5,2000.0,200.0,2.5,243.7309,0.0054833823660000005,10000
S3M_br,mMed2000_mDM200_lam3p0,2000.0,200.0,3.0,350.9725,0.011237056959000001,10000
S3M_br,mMed2000_mDM200_lam3p5,2000.0,200.0,3.5,477.7125,0.020384343830000002,10000
S3M_br,mMed2000_mDM200_lam4p0,2000.0,200.0,4.0,623.951,0.034847207059999996,10000
S3M_br,mMed2000_mDM200_lam4p5,2000.0,200.0,4.5,789.688,0.05542019171,10000
S3M_br,mMed2000_mDM200_lam5p0,2000.0,200.0,5.0,974.9235,0.08414303145,10000
S3M_br,mMed2000_mDM500_lam1p0,2000.0,500.0,1.0,34.97057,6.281882873e-05,10000
S3M_br,mMed2000_mDM500_lam1p5,2000.0,500.0,1.5,78.68378,0.0001817507163,10000
S3M_br,mMed2000_mDM500_lam2p0,2000.0,500.0,2.0,139.8823,0.00044345773930000004,10000
S3M_br,mMed2000_mDM500_lam2p2,2000.0,500.0,2.2,169.2576,0.0006089198842,10000
S3M_br,mMed2000_mDM500_lam2p5,2000.0,500.0,2.5,218.5661,0.000905323085,10000
S3M_br,mMed2000_mDM500_lam3p0,2000.0,500.0,3.0,314.7351,0.001765254811,10000
S3M_br,mMed2000_mDM500_lam3p5,2000.0,500.0,3.5,428.3895,0.003128642991,10000
S3M_br,mMed2000_mDM500_lam4p0,2000.0,500.0,4.0,559.5291,0.005185337509,10000
S3M_br,mMed2000_mDM500_lam4p5,2000.0,500.0,4.5,708.154,0.00817813298,10000
S3M_br,mMed2000_mDM500_lam5p0,2000.0,500.0,5.0,874.2642,0.012313506339999999,10000
S3M_br,mMed2000_mDM750_lam1p0,2000.0,750.0,1.0,29.38499,3.6335567882e-05,10000
S3M_br,mMed2000_mDM750_lam1p5,2000.0,750.0,1.5,66.11623,7.743221192e-05,10000
S3M_br,mMed2000_mDM750_lam2p0,2000.0,750.0,2.0,117.54,0.0001543354718,10000
S3M_br,mMed2000_mDM750_lam2p2,2000.0,750.0,2.2,142.2234,0.00019999657939999998,10000
S3M_br,mMed2000_mDM750_lam2p5,2000.0,750.0,2.5,183.6562,0.00028647471419999997,10000
S3M_br,mMed2000_mDM750_lam3p0,2000.0,750.0,3.0,264.4649,0.00047204127089999994,10000
S3M_br,mMed2000_mDM750_lam3p5,2000.0,750.0,3.5,359.9661,0.000794620219,10000
S3M_br,mMed2000_mDM750_lam4p0,2000.0,750.0,4.0,470.1599,0.0012699760520000001,10000
S3M_br,mMed2000_mDM750_lam4p5,2000.0,750.0,4.5,595.0461,0.001934829209,10000
S3M_br,mMed2000_mDM750_lam5p0,2000.0,750.0,5.0,734.6248,0.002857621071,10000
S3M_br,mMed2000_mDM1000_lam1p0,2000.0,1000.0,1.0,22.38116,2.5345059534e-05,10000
S3M_br,mMed2000_mDM1000_lam1p5,2000.0,1000.0,1.5,50.35762,4.3240320619000004e-05,10000
S3M_br,mMed2000_mDM1000_lam2p0,2000.0,1000.0,2.0,89.52466,7.183887686e-05,10000
S3M_br,mMed2000_mDM1000_lam2p2,2000.0,1000.0,2.2,108.3248,8.674124581e-05,10000
S3M_br,mMed2000_mDM1000_lam2p5,2000.0,1000.0,2.5,139.8823,0.00011397208883,10000
S3M_br,mMed2000_mDM1000_lam3p0,2000.0,1000.0,3.0,201.4305,0.0001602823198,10000
S3M_br,mMed2000_mDM1000_lam3p5,2000.0,1000.0,3.5,274.1693,0.0002462432434,10000
S3M_br,mMed2000_mDM1000_lam4p0,2000.0,1000.0,4.0,358.0986,0.0003673463402,10000
S3M_br,mMed2000_mDM1000_lam4p5,2000.0,1000.0,4.5,453.2186,0.0005347212775,10000
S3M_br,mMed2000_mDM1000_lam5p0,2000.0,1000.0,5.0,559.5291,0.000758182146,10000
S3M_br,mMed2000_mDM1500_lam1p0,2000.0,1500.0,1.0,7.615813,1.7339602177539998e-05,10000
S3M_br,mMed2000_mDM1500_lam1p5,2000.0,1500.0,1.5,17.13558,2.26066134394e-05,10000
S3M_br,mMed2000_mDM1500_lam2p0,2000.0,1500.0,2.0,30.46325,2.97238140458e-05,10000
S3M_br,mMed2000_mDM1500_lam2p2,2000.0,1500.0,2.2,36.86053,3.2981409770299996e-05,10000
S3M_br,mMed2000_mDM1500_lam2p5,2000.0,1500.0,2.5,47.59883,3.8313615621e-05,10000
S3M_br,mMed2000_mDM1500_lam3p0,2000.0,1500.0,3.0,68.54231,4.9028890720999995e-05,10000
S3M_br,mMed2000_mDM1500_lam3p5,2000.0,1500.0,3.5,93.29371,6.1989398424e-05,10000
S3M_br,mMed2000_mDM1500_lam4p0,2000.0,1500.0,4.0,121.853,7.7049166649e-05,10000
S3M_br,mMed2000_mDM1500_lam4p5,2000.0,1500.0,4.5,154.2202,9.580816709e-05,10000
S3M_br,mMed2000_mDM1500_lam5p0,2000.0,1500.0,5.0,190.3953,0.00011825764092,10000
S3M_br,mMed2500_mDM1_lam1p0,2500.0,1.0,1.0,49.7359,0.00019557055053999998,10000
S3M_br,mMed2500_mDM1_lam1p5,2500.0,1.0,1.5,111.9058,0.0009989063514,10000
S3M_br,mMed2500_mDM1_lam2p0,2500.0,1.0,2.0,198.9436,0.00297107827031,10000
S3M_br,mMed2500_mDM1_lam2p2,2500.0,1.0,2.2,240.7218,0.0042985905002,10000
S3M_br,mMed2500_mDM1_lam2p5,2500.0,1.0,2.5,310.8494,0.007591270344,10000
S3M_br,mMed2500_mDM1_lam3p0,2500.0,1.0,3.0,447.6231,0.015664013186,10000
S3M_br,mMed2500_mDM1_lam3p5,2500.0,1.0,3.5,609.2648,0.029248761637,10000
S3M_br,mMed2500_mDM1_lam4p0,2500.0,1.0,4.0,795.7745,0.049686240803000006,10000
S3M_br,mMed2500_mDM1_lam4p5,2500.0,1.0,4.5,1007.152,0.078979074542,10000
S3M_br,mMed2500_mDM1_lam5p0,2500.0,1.0,5.0,1243.398,0.113521730046,10000
S3M_br,mMed2500_mDM10_lam1p0,2500.0,10.0,1.0,49.73433,0.00019637742474999998,10000
S3M_br,mMed2500_mDM10_lam1p5,2500.0,10.0,1.5,111.9022,0.00097127476035,10000
S3M_br,mMed2500_mDM10_lam2p0,2500.0,10.0,2.0,198.9373,0.0029616135544,10000
S3M_br,mMed2500_mDM10_lam2p2,2500.0,10.0,2.2,240.7141,0.004552628731,10000
S3M_br,mMed2500_mDM10_lam2p5,2500.0,10.0,2.5,310.8396,0.007607160669,10000
S3M_br,mMed2500_mDM10_lam3p0,2500.0,10.0,3.0,447.609,0.014666402293,10000
S3M_br,mMed2500_mDM10_lam3p5,2500.0,10.0,3.5,609.2455,0.026770169227000002,10000
S3M_br,mMed2500_mDM10_lam4p0,2500.0,10.0,4.0,795.7493,0.044674520509999996,10000
S3M_br,mMed2500_mDM10_lam4p5,2500.0,10.0,4.5,1007.12,0.08045926657,10000
S3M_br,mMed2500_mDM10_lam5p0,2500.0,10.0,5.0,1243.358,0.123800642052,10000
S3M_br,mMed2500_mDM50_lam1p0,2500.0,50.0,1.0,49.69614,0.00017063867122,10000
S3M_br,mMed2500_mDM50_lam1p5,2500.0,50.0,1.5,111.8163,0.0008475298521,10000
S3M_br,mMed2500_mDM50_lam2p0,2500.0,50.0,2.0,198.7846,0.0026745272189,10000
S3M_br,mMed2500_mDM50_lam2p2,2500.0,50.0,2.2,240.5293,0.003859332155,10000
S3M_br,mMed2500_mDM50_lam2p5,2500.0,50.0,2.5,310.6009,0.006399731836,10000
S3M_br,mMed2500_mDM50_lam3p0,2500.0,50.0,3.0,447.2653,0.013169571897,10000
S3M_br,mMed2500_mDM50_lam3p5,2500.0,50.0,3.5,608.7777,0.024684585386,10000
S3M_br,mMed2500_mDM50_lam4p0,2500.0,50.0,4.0,795.1382,0.041589570694,10000
S3M_br,mMed2500_mDM50_lam4p5,2500.0,50.0,4.5,1006.347,0.065271679265,10000
S3M_br,mMed2500_mDM50_lam5p0,2500.0,50.0,5.0,1242.403,0.101502789887,10000
S3M_br,mMed2500_mDM100_lam1p0,2500.0,100.0,1.0,49.57689,0.00012833119166000002,10000
S3M_br,mMed2500_mDM100_lam1p5,2500.0,100.0,1.5,111.548,0.0006246977395,10000
S3M_br,mMed2500_mDM100_lam2p0,2500.0,100.0,2.0,198.3076,0.0019526614666,10000
S3M_br,mMed2500_mDM100_lam2p2,2500.0,100.0,2.2,239.9522,0.002806288087,10000
S3M_br,mMed2500_mDM100_lam2p5,2500.0,100.0,2.5,309.8556,0.004659606414,10000
S3M_br,mMed2500_mDM100_lam3p0,2500.0,100.0,3.0,446.192,0.009640211562,10000
S3M_br,mMed2500_mDM100_lam3p5,2500.0,100.0,3.5,607.3169,0.017844963924,10000
S3M_br,mMed2500_mDM100_lam4p0,2500.0,100.0,4.0,793.2303,0.030484325815,10000
S3M_br,mMed2500_mDM100_lam4p5,2500.0,100.0,4.5,1003.932,0.048106479601,10000
S3M_br,mMed2500_mDM100_lam5p0,2500.0,100.0,5.0,1239.422,0.074359060425,10000
S3M_br,mMed2500_mDM200_lam1p0,2500.0,200.0,1.0,49.10134,6.993811053e-05,10000
S3M_br,mMed2500_mDM200_lam1p5,2500.0,200.0,1.5,110.478,0.0003347767737,10000
S3M_br,mMed2500_mDM200_lam2p0,2500.0,200.0,2.0,196.4053,0.0010162288419,10000
S3M_br,mMed2500_mDM200_lam2p2,2500.0,200.0,2.2,237.6505,0.001501756216,10000
S3M_br,mMed2500_mDM200_lam2p5,2500.0,200.0,2.5,306.8834,0.002457769921,10000
S3M_br,mMed2500_mDM200_lam3p0,2500.0,200.0,3.0,441.912,0.005004450755,10000
S3M_br,mMed2500_mDM200_lam3p5,2500.0,200.0,3.5,601.4914,0.009295833805,10000
S3M_br,mMed2500_mDM200_lam4p0,2500.0,200.0,4.0,785.6214,0.015934027342,10000
S3M_br,mMed2500_mDM200_lam4p5,2500.0,200.0,4.5,994.3021,0.025509628879,10000
S3M_br,mMed2500_mDM200_lam5p0,2500.0,200.0,5.0,1227.533,0.038823140548,10000
S3M_br,mMed2500_mDM500_lam1p0,2500.0,500.0,1.0,45.83662,1.604532964e-05,10000
S3M_br,mMed2500_mDM500_lam1p5,2500.0,500.0,1.5,103.1324,6.354056627e-05,10000
S3M_br,mMed2500_mDM500_lam2p0,2500.0,500.0,2.0,183.3465,0.0001822450015,10000
S3M_br,mMed2500_mDM500_lam2p2,2500.0,500.0,2.2,221.8493,0.0002618154002,10000
S3M_br,mMed2500_mDM500_lam2p5,2500.0,500.0,2.5,286.4789,0.0004137964363,10000
S3M_br,mMed2500_mDM500_lam3p0,2500.0,500.0,3.0,412.5296,0.0008433304360000001,10000
S3M_br,mMed2500_mDM500_lam3p5,2500.0,500.0,3.5,561.4986,0.001538692944,10000
S3M_br,mMed2500_mDM500_lam4p0,2500.0,500.0,4.0,733.386,0.002594146258,10000
S3M_br,mMed2500_mDM500_lam4p5,2500.0,500.0,4.5,928.1916,0.004120205296,10000
S3M_br,mMed2500_mDM500_lam5p0,2500.0,500.0,5.0,1145.916,0.006196908588,10000
S3M_br,mMed2500_mDM750_lam1p0,2500.0,750.0,1.0,41.18632,6.583058228e-06,10000
S3M_br,mMed2500_mDM750_lam1p5,2500.0,750.0,1.5,92.66921,2.069657515e-05,10000
S3M_br,mMed2500_mDM750_lam2p0,2500.0,750.0,2.0,164.7453,5.253076391e-05,10000
S3M_br,mMed2500_mDM750_lam2p2,2500.0,750.0,2.2,199.3418,7.334821710000001e-05,10000
S3M_br,mMed2500_mDM750_lam2p5,2500.0,750.0,2.5,257.4145,0.0001100631064,10000
S3M_br,mMed2500_mDM750_lam3p0,2500.0,750.0,3.0,370.6768,0.0002154388527,10000
S3M_br,mMed2500_mDM750_lam3p5,2500.0,750.0,3.5,504.5324,0.0003863961561,10000
S3M_br,mMed2500_mDM750_lam4p0,2500.0,750.0,4.0,658.981,0.000644978428,10000
S3M_br,mMed2500_mDM750_lam4p5,2500.0,750.0,4.5,834.0229,0.001010813428,10000
S3M_br,mMed2500_mDM750_lam5p0,2500.0,750.0,5.0,1029.658,0.001535579811,10000
S3M_br,mMed2500_mDM1000_lam1p0,2500.0,1000.0,1.0,35.09366,3.4988261307e-06,10000
S3M_br,mMed2500_mDM1000_lam1p5,2500.0,1000.0,1.5,78.96075,8.481556966e-06,10000
S3M_br,mMed2500_mDM1000_lam2p0,2500.0,1000.0,2.0,140.3747,1.843597133e-05,10000
S3M_br,mMed2500_mDM1000_lam2p2,2500.0,1000.0,2.2,169.8533,2.432674316e-05,10000
S3M_br,mMed2500_mDM1000_lam2p5,2500.0,1000.0,2.5,219.3354,3.626254567e-05,10000
S3M_br,mMed2500_mDM1000_lam3p0,2500.0,1000.0,3.0,315.843,6.22220154e-05,10000
S3M_br,mMed2500_mDM1000_lam3p5,2500.0,1000.0,3.5,429.8974,0.000106891049,10000
S3M_br,mMed2500_mDM1000_lam4p0,2500.0,1000.0,4.0,561.4986,0.0001734354843,10000
S3M_br,mMed2500_mDM1000_lam4p5,2500.0,1000.0,4.5,710.6467,0.0002697157157,10000
S3M_br,mMed2500_mDM1000_lam5p0,2500.0,1000.0,5.0,877.3416,0.0004009288944,10000
S3M_br,mMed2500_mDM1500_lam1p0,2500.0,1500.0,1.0,20.37183,1.63778670683e-06,10000
S3M_br,mMed2500_mDM1500_lam1p5,2500.0,1500.0,1.5,45.83662,2.6347504117e-06,10000
S3M_br,mMed2500_mDM1500_lam2p0,2500.0,1500.0,2.0,81.48733,4.1196954755e-06,10000
S3M_br,mMed2500_mDM1500_lam2p2,2500.0,1500.0,2.2,98.59967,4.8906501356999996e-06,10000
S3M_br,mMed2500_mDM1500_lam2p5,2500.0,1500.0,2.5,127.324,6.264342751e-06,10000
S3M_br,mMed2500_mDM1500_lam3p0,2500.0,1500.0,3.0,183.3465,9.249386841e-06,10000
S3M_br,mMed2500_mDM1500_lam3p5,2500.0,1500.0,3.5,249.555,1.3366951551e-05,10000
S3M_br,mMed2500_mDM1500_lam4p0,2500.0,1500.0,4.0,325.9493,1.7269197953e-05,10000
S3M_br,mMed2500_mDM1500_lam4p5,2500.0,1500.0,4.5,412.5296,2.456660175e-05,10000
S3M_br,mMed2500_mDM1500_lam5p0,2500.0,1500.0,5.0,509.2958,3.413361857e-05,10000
S3M_br,mMed2500_mDM2000_lam1p0,2500.0,2000.0,1.0,6.445775,1.1766002321162e-06,10000
S3M_br,mMed2500_mDM2000_lam1p5,2500.0,2000.0,1.5,14.50299,1.488007065587e-06,10000
S3M_br,mMed2500_mDM2000_lam2p0,2500.0,2000.0,2.0,25.7831,1.9063778245100001e-06,10000
S3M_br,mMed2500_mDM2000_lam2p2,2500.0,2000.0,2.2,31.19755,2.09778075974e-06,10000
S3M_br,mMed2500_mDM2000_lam2p5,2500.0,2000.0,2.5,40.28609,2.4115702137699997e-06,10000
