scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3M_br,mMed100_mDM50_lam3p5,100.0,50.0,3.5,13.70846,1262.3471138,10000
S3M_br,mMed100_mDM50_lam4p0,100.0,50.0,4.0,17.90493,1530.43923,10000
S3M_br,mMed100_mDM50_lam4p5,100.0,50.0,4.5,22.66093,1841.8101809999998,10000
S3M_br,mMed100_mDM50_lam5p0,100.0,50.0,5.0,27.97645,2219.186618,10000
S3M_br,mMed200_mDM1_lam1p0,200.0,1.0,1.0,3.978675,55.152046883,10000
S3M_br,mMed200_mDM1_lam1p5,200.0,1.0,1.5,8.952018,72.07826709999999,10000
S3M_br,mMed200_mDM1_lam2p0,200.0,1.0,2.0,15.9147,97.46893782,10000
S3M_br,mMed200_mDM1_lam2p2,200.0,1.0,2.2,19.25679,110.40233474,10000
S3M_br,mMed200_mDM1_lam2p5,200.0,1.0,2.5,24.86672,137.85519846,10000
S3M_br,mMed200_mDM1_lam3p0,200.0,1.0,3.0,35.80807,187.297165,10000
S3M_br,mMed200_mDM1_lam3p5,200.0,1.0,3.5,48.73876,252.5667723,10000
S3M_br,mMed200_mDM1_lam4p0,200.0,1.0,4.0,63.65879,338.8714606,10000
S3M_br,mMed200_mDM1_lam4p5,200.0,1.0,4.5,80.56816,451.6953302,10000
S3M_br,mMed200_mDM1_lam5p0,200.0,1.0,5.0,99.46687,589.80577,10000
S3M_br,mMed200_mDM10_lam1p0,200.0,10.0,1.0,3.959004,55.162606843,10000
S3M_br,mMed200_mDM10_lam1p5,200.0,10.0,1.5,8.907759,72.35618222000001,10000
S3M_br,mMed200_mDM10_lam2p0,200.0,10.0,2.0,15.83602,96.93210336,10000
S3M_br,mMed200_mDM10_lam2p2,200.0,10.0,2.2,19.16158,109.95008868,10000
S3M_br,mMed200_mDM10_lam2p5,200.0,10.0,2.5,24.74378,136.0724409,10000
S3M_br,mMed200_mDM10_lam3p0,200.0,10.0,3.0,35.63104,183.8120134,10000
S3M_br,mMed200_mDM10_lam3p5,200.0,10.0,3.5,48.4978,248.3307213,10000
S3M_br,mMed200_mDM10_lam4p0,200.0,10.0,4.0,63.34407,330.4471013,10000
S3M_br,mMed200_mDM10_lam4p5,200.0,10.0,4.5,80.16983,438.646475,10000
